159;250;10;9995;1000;0.323272597
160;320;17;17315;512;0.632187713
161;500;17;30587;1000;0.701132268
162;500;16;22490;512;0.678025791
163;500;16;16439;512;0.689698222
164;640;16;19990;1000;0.659845108
165;320;16;14894;512;0.650663371
166;500;16;12743;512;0.733395184
167;320;31;23627;2000;0.493053737
168;320;22;22271;2000;0.734595982
169;250;12;11988;2000;0.662068118
170;500;16;21948;1000;0.748259003
171;250;10;11999;1000;0.363332417
172;500;15;22490;512;0.648483308
173;250;12;10139;2000;0.601761402
174;320;14;32279;2000;0.719854028
175;500;16;16308;512;0.690301839
176;250;12;12119;2000;0.661464501
177;250;10;11990;1000;0.356707221
178;320;14;21107;256;0.471331969
179;500;16;17868;1000;0.793725347
180;320;16;15948;512;0.645806788
181;320;14;15990;2000;0.794909898
182;250;16;13428;2000;0.895432938
183;320;13;16667;2000;0.745123775
184;160;12;9107;1000;0.386961195
185;160;10;6827;1000;0.151178974
186;320;16;35951;1000;0.637582637
187;160;10;6683;1000;0.151375184
188;500;16;39490;1000;0.683638756
189;320;31;18839;512;0.259152408
190;250;16;15839;2000;0.884323619
191;500;16;13188;512;0.704678063
192;500;16;19955;512;0.673497323
193;250;16;10990;2000;0.906666667
194;320;16;15828;512;0.646359719
195;250;10;9839;1000;0.30959627
196;500;16;13439;512;0.703521514
197;320;16;18839;512;0.632485742
198;250;16;14520;2000;0.890401259
199;500;16;18935;1000;0.788808863
